period,source_file,awc_code,anomaly_kind
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001020103,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001020110,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001020203,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001020206,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001030404,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001040302,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001040303,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77001040505,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002010204,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002010502,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002020102,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002020202,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002020204,negative_count
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77002020509,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77003020304,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77004030405,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77004030502,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77004040204,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77004040503,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77005010203,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77005010303,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77006010102,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77006020107,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77006030108,population_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77007010107,negative_count
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77007010401,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77007040210,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77008020207,measured_exceeds_active
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77008030508,negative_count
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77009020401,negative_count
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77009030303,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77010010203,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77010020501,efficiency_out_of_range
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77010020507,extreme_rate_spike
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77010030205,negative_count
2024-01,AWC_Operational_Efficiency_01_2024_January.csv,77010040402,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77001010101,efficiency_out_of_range
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77001010401,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77001040307,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77002010504,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77002020209,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77002020302,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77002030204,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77002040409,efficiency_out_of_range
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77003010301,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77003030205,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77003040509,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004010305,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004010410,efficiency_out_of_range
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004020206,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004020403,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004040109,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004040203,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004040204,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004040307,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77004040504,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77005020410,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77006010303,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77006020305,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77006020402,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77006040309,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77007020409,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77007030102,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77007030207,negative_count
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77007040208,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77008020102,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77009020207,measured_exceeds_active
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77009020302,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77010010405,population_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77010020404,extreme_rate_spike
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77010020501,efficiency_out_of_range
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77010030503,efficiency_out_of_range
2024-02,AWC_Operational_Efficiency_02_2024_February.csv,77010040303,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77001010308,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77001030510,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77001040105,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77001040207,negative_count
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002010510,negative_count
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002020406,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002020510,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002030103,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002030110,negative_count
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002030301,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002030501,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77002040108,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77003030305,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77004020103,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77004030301,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77004030308,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77005010308,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77005020304,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006010402,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006010407,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006020101,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006020502,negative_count
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006030503,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77006040401,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77007020407,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77007020410,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77007020509,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77007030409,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77008020308,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77008040303,efficiency_out_of_range
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009010302,extreme_rate_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009010409,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009020504,negative_count
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009020507,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009020510,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77009040105,population_spike
2024-03,AWC_Operational_Efficiency_March_2024.csv,77010010503,measured_exceeds_active
2024-03,AWC_Operational_Efficiency_March_2024.csv,77010020510,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77001010502,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77001010505,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77001020204,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77001030410,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77001030505,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77002020503,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77002040204,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003010503,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003020104,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003020204,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003030104,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003040303,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77003040509,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77004010110,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77004020509,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005010305,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005020106,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005020502,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005030108,negative_count
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005030207,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005030505,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77005040401,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77006010309,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77006030402,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77006030509,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77007010201,negative_count
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77007010401,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77007020208,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77007030110,negative_count
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77007030502,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77008010110,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77009010102,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77009010303,negative_count
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77009030509,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77009040201,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77009040303,measured_exceeds_active
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010010403,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010010504,population_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010020109,negative_count
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010030202,extreme_rate_spike
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010030305,efficiency_out_of_range
2024-04,AWC_Operational_Efficiency_04_2024_April.csv,77010030307,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77001010408,extreme_rate_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77001030306,extreme_rate_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002010207,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002010403,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002010507,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002030105,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002030307,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77002030507,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77003010504,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77003020502,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77004020408,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77005030401,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77005030503,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77005040410,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77005040505,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77006010108,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77006020509,extreme_rate_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77007010109,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77007020103,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77007040110,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77007040407,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77008020502,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77008030406,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009010508,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009030303,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009030405,extreme_rate_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009030506,extreme_rate_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009040305,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77009040403,population_spike
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77010010104,measured_exceeds_active
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77010010405,efficiency_out_of_range
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77010020302,negative_count
2024-05,AWC_Operational_Efficiency_05_2024_May.csv,77010030110,efficiency_out_of_range
