awc_code,district_name,project_name,sector_name,distress_severity,distress_onset_month,distress_onset_period
77006010107,Amarkot,Amarkot,Vadedihi,severe,1,2024-01
77007030406,Bijaynagar,Delokhand,Napravihar,moderate,1,2024-01
77007040201,Bijaynagar,Tachigarh,Amjapalli,moderate,1,2024-01
77008030206,Chandragiri,Rugankot,Gomopalli,severe,1,2024-01
77010030205,Vishwanathpur,Shachikhand,Ruampalli,moderate,1,2024-01
77010030405,Vishwanathpur,Shachikhand,Ammasahi,severe,1,2024-01
77001040108,Kirtipur,Kininagar,Hasudihi,moderate,2,2024-02
77003010104,Ranital,Ranital,Losudihi,severe,2,2024-02
77005020310,Shantigarh,Amdegiri,Pasabasti,severe,2,2024-02
77007030204,Bijaynagar,Delokhand,Nakidihi,moderate,2,2024-02
77007030407,Bijaynagar,Delokhand,Napravihar,moderate,2,2024-02
77008040208,Chandragiri,Takagiri,Karabasti,moderate,3,2024-03
77008040307,Chandragiri,Takagiri,Shamebandha,severe,3,2024-03
77010010506,Vishwanathpur,Vishwanathpur,Morutola,moderate,3,2024-03
77001040304,Kirtipur,Kininagar,Paratola,moderate,4,2024-04
77007020302,Bijaynagar,Pamokhand,Rumavihar,moderate,4,2024-04
77008040205,Chandragiri,Takagiri,Karabasti,severe,4,2024-04
77002010309,Devbhumi,Devbhumi,Samobasti,severe,5,2024-05
77003030302,Ranital,Dhasaganj,Monivihar,severe,5,2024-05
77005040107,Shantigarh,Prabupur,Amkasahi,moderate,5,2024-05
77002020509,Devbhumi,Chipapada,Suprasahi,severe,6,2024-06
77005030304,Shantigarh,Bibupada,Shabitola,moderate,6,2024-06
77007040410,Bijaynagar,Tachigarh,Tachipalli,severe,6,2024-06
77009030402,Suryagarh,Hagokhand,Tribupalli,severe,6,2024-06
77007040508,Bijaynagar,Tachigarh,Lagansahi,severe,7,2024-07
77008020201,Chandragiri,Kivagiri,Mokatola,moderate,7,2024-07
77008030103,Chandragiri,Rugankot,Bunisahi,moderate,7,2024-07
77008040405,Chandragiri,Takagiri,Gobuvihar,severe,7,2024-07
77002040507,Devbhumi,Tanikhand,Kirupada,severe,8,2024-08
77003010303,Ranital,Ranital,Prabidihi,moderate,8,2024-08
77004010102,Meghpur,Meghpur,Trikadihi,moderate,8,2024-08
77004040103,Meghpur,Bitagiri,Mepadihi,severe,8,2024-08
77006030101,Amarkot,Paganpada,Kimobasti,severe,8,2024-08
77008030109,Chandragiri,Rugankot,Bunisahi,moderate,8,2024-08
77003040405,Ranital,Kidhakhand,Mesuvihar,moderate,9,2024-09
77007030302,Bijaynagar,Delokhand,Ganlatola,severe,9,2024-09
77008020508,Chandragiri,Kivagiri,Trimobandha,severe,9,2024-09
77010010103,Vishwanathpur,Vishwanathpur,Shadhapada,severe,9,2024-09
77003020508,Ranital,Shagoganj,Tavapalli,severe,10,2024-10
77004020504,Meghpur,Trichipur,Vimetola,moderate,10,2024-10
77005030207,Shantigarh,Bibupada,Tribisahi,severe,10,2024-10
77002020407,Devbhumi,Chipapada,Mebuvihar,moderate,11,2024-11
77002030206,Devbhumi,Lavakot,Sukigram,severe,11,2024-11
77004010306,Meghpur,Meghpur,Latasahi,severe,11,2024-11
77005010206,Shantigarh,Shantigarh,Rabivihar,severe,11,2024-11
77005020508,Shantigarh,Amdegiri,Biamgram,severe,11,2024-11
77007020110,Bijaynagar,Pamokhand,Goprabasti,severe,11,2024-11
77009020301,Suryagarh,Mechikhand,Ganshadihi,severe,11,2024-11
77009040402,Suryagarh,Takanagar,Mejavihar,moderate,11,2024-11
77010030306,Vishwanathpur,Shachikhand,Hakibandha,severe,11,2024-11
